,area,buildtime,room_num,hall_num,floor,dire,exemption of business tax,exemption of double tax,quality education,distance,loc
295,112.7,2004,3.0,2.0,2.0,1.0,0.0,1.0,1.0,5000,53.0
296,171.0,2011,4.0,3.0,1.0,2.0,0.0,1.0,1.0,5000,23.0
297,114.0,2009,2.0,2.0,3.0,2.0,0.0,1.0,1.0,682,12.0
298,108.1,2012,3.0,2.0,3.0,1.0,0.0,1.0,1.0,643,12.0
299,128.0,2001,3.0,2.0,3.0,2.0,0.0,1.0,0.0,536,6.0
300,87.1,1996,2.0,2.0,2.0,1.0,0.0,1.0,1.0,5000,37.0
301,145.0,2006,3.0,2.0,2.0,1.0,0.0,1.0,1.0,274,84.0
302,93.6,2012,3.0,1.0,3.0,2.0,0.0,1.0,1.0,5000,12.0
303,118.0,2005,2.0,2.0,3.0,2.0,0.0,1.0,1.0,657,79.0
304,69.0,2010,2.0,2.0,2.0,1.0,0.0,1.0,0.0,5000,12.0
305,145.1,2001,3.0,2.0,2.0,1.0,0.0,1.0,1.0,743,8.0
306,77.2,2013,2.0,2.0,2.0,1.0,0.0,1.0,0.0,5000,33.0
307,125.0,2005,2.0,2.0,2.0,2.0,0.0,1.0,0.0,721,6.0
308,55.0,1999,1.0,2.0,2.0,1.0,0.0,1.0,1.0,652,74.0
309,202.0,2002,3.0,2.0,3.0,2.0,0.0,1.0,1.0,372,13.0
310,109.0,2018,3.0,2.0,2.0,2.0,1.0,0.0,0.0,677,86.0
311,220.6,2015,3.0,2.0,3.0,2.0,1.0,0.0,0.0,436,87.0
312,88.0,2008,2.0,2.0,3.0,2.0,0.0,1.0,1.0,5000,39.0
